Temperature_C,TempLabel,Humidity_pct,HumidityLabel,Discomfort,FanSpeed,FanSpeedLabel
21.19,Warm,50.68,Normal,19.38,50.0,Medium
23.98,Warm,50.09,Normal,21.38,50.0,Medium
29.45,Hot,67.9,Humid,26.81,75.15,High
30.05,Hot,59.0,Normal,26.54,84.54,High
18.1,Cold,62.12,Normal,17.35,50.0,Medium
25.15,Warm,67.75,Humid,23.26,50.0,Medium
23.84,Warm,73.4,Humid,22.47,50.0,Medium
21.11,Cold,40.28,Normal,18.94,50.0,Medium
19.68,Cold,42.53,Normal,18.04,,High
22.73,Warm,25.64,Dry,19.36,,High
31.2,Hot,54.7,Normal,27.04,86.07,High
22.52,Warm,22.16,Dry,19.09,,High
25.26,Warm,47.94,Normal,22.18,50.0,Medium
27.84,Warm,52.56,Normal,24.36,50.0,Medium
23.09,Warm,37.19,Normal,20.12,50.0,Medium
31.6,Hot,55.45,Normal,27.41,85.89,High
31.47,Hot,21.83,Dry,24.17,,High
21.52,Warm,22.24,Dry,18.52,18.83,Low
24.96,Warm,69.36,Humid,23.2,50.0,Medium
22.21,Warm,41.61,Normal,19.73,50.0,Medium
21.99,Warm,27.62,Dry,19.01,19.98,Low
18.52,Cold,51.33,Normal,17.44,,High
26.53,Warm,66.2,Humid,24.29,50.0,Medium
25.04,Warm,32.95,Dry,21.15,50.0,Medium
18.72,Cold,57.37,Normal,17.73,,High
21.9,Warm,25.12,Dry,18.85,19.75,Low
