Temperature_C,TempLabel,Humidity_pct,HumidityLabel,Discomfort,FanSpeed,FanSpeedLabel
23.75,Comfortable,76.17,Humid,0.773,9.39,Low
28.58,Hot,61.76,Humid,4.815,58.44,Medium
21.2,Comfortable,54.2,Normal,2.884,35.0,Medium
19.08,Cold,25.83,Dry,4.92,59.72,Medium
22.06,Comfortable,56.9,Normal,2.078,25.22,Low
20.26,Comfortable,79.4,Humid,4.328,52.53,Medium
31.02,Hot,28.41,Dry,7.02,85.2,High
29.31,Hot,51.1,Normal,5.332,64.72,Medium
26.87,Hot,72.64,Humid,3.323,40.33,Medium
30.2,Hot,64.45,Humid,6.489,78.76,High
29.25,Hot,61.82,Humid,5.486,66.59,Medium
20.61,Comfortable,62.15,Humid,3.633,44.1,Medium
30.5,Hot,41.57,Normal,6.5,78.89,High
25.55,Comfortable,37.62,Normal,1.55,18.81,Low
29.3,Hot,68.56,Humid,5.671,68.83,High
30.55,Hot,68.61,Humid,6.922,84.02,High
22.45,Comfortable,72.02,Humid,1.99,24.16,Low
19.54,Cold,74.79,Humid,4.956,60.15,Medium
21.19,Comfortable,50.68,Normal,2.824,34.27,Medium
23.98,Comfortable,50.09,Normal,0.022,0.26,Low
29.45,Hot,67.9,Humid,5.808,70.49,High
30.05,Hot,59.0,Normal,6.23,75.62,High
18.1,Cold,62.12,Humid,6.142,74.55,High
25.15,Comfortable,67.75,Humid,1.505,18.27,Low
23.84,Comfortable,73.4,Humid,0.628,7.62,Low
21.11,Comfortable,40.28,Normal,2.89,35.08,Medium
19.68,Cold,42.53,Normal,4.32,52.43,Medium
22.73,Comfortable,25.64,Dry,1.27,15.41,Low
31.2,Hot,54.7,Normal,7.294,88.53,High
22.52,Comfortable,22.16,Dry,1.48,17.96,Low
25.26,Comfortable,47.94,Normal,1.26,15.29,Low
27.84,Hot,52.56,Normal,3.891,47.23,Medium
23.09,Comfortable,37.19,Normal,0.91,11.05,Low
31.6,Hot,55.45,Normal,7.709,93.57,High
31.47,Hot,21.83,Dry,7.47,90.67,High
21.52,Comfortable,22.24,Dry,2.48,30.1,Low
24.96,Comfortable,69.36,Humid,1.347,16.35,Low
22.21,Comfortable,41.61,Normal,1.79,21.73,Low
21.99,Comfortable,27.62,Dry,2.01,24.4,Low
18.52,Cold,51.33,Normal,5.507,66.84,Medium
26.53,Hot,66.2,Humid,2.854,34.64,Medium
25.04,Comfortable,32.95,Dry,1.04,12.62,Low
18.72,Cold,57.37,Normal,5.427,65.87,Medium
21.9,Comfortable,25.12,Dry,2.1,25.49,Low
